"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"09.01.2016 21:45 - 09.01.2016 22:00","51671","53404"
"09.01.2016 22:00 - 09.01.2016 22:15","50858","54146"
"09.01.2016 22:15 - 09.01.2016 22:30","51132","53882"
"09.01.2016 22:30 - 09.01.2016 22:45","50778","53131"
"09.01.2016 22:45 - 09.01.2016 23:00","49988","52474"
"09.01.2016 23:00 - 09.01.2016 23:15","49112","51783"
"09.01.2016 23:15 - 09.01.2016 23:30","48220","51010"
"09.01.2016 23:30 - 09.01.2016 23:45","47984","49933"
"09.01.2016 23:45 - 10.01.2016 00:00","46952","49120"
"10.01.2016 00:00 - 10.01.2016 00:15","45932","47649"
"10.01.2016 00:15 - 10.01.2016 00:30","45424","46808"
"10.01.2016 00:30 - 10.01.2016 00:45","45156","46071"
"10.01.2016 00:45 - 10.01.2016 01:00","44717","45639"
"10.01.2016 01:00 - 10.01.2016 01:15","43972","45286"
"10.01.2016 01:15 - 10.01.2016 01:30","43811","44757"
"10.01.2016 01:30 - 10.01.2016 01:45","43466","44187"
"10.01.2016 01:45 - 10.01.2016 02:00","43319","43646"
"10.01.2016 02:00 - 10.01.2016 02:15","42942","43666"
"10.01.2016 02:15 - 10.01.2016 02:30","42866","43427"
"10.01.2016 02:30 - 10.01.2016 02:45","42632","43306"
"10.01.2016 02:45 - 10.01.2016 03:00","42361","42987"
"10.01.2016 03:00 - 10.01.2016 03:15","42340","43173"
"10.01.2016 03:15 - 10.01.2016 03:30","42432","43111"
"10.01.2016 03:30 - 10.01.2016 03:45","42582","42959"
"10.01.2016 03:45 - 10.01.2016 04:00","42337","42898"
"10.01.2016 04:00 - 10.01.2016 04:15","42431","43043"
"10.01.2016 04:15 - 10.01.2016 04:30","42506","42861"
"10.01.2016 04:30 - 10.01.2016 04:45","42213","43125"
"10.01.2016 04:45 - 10.01.2016 05:00","42365","43144"
"10.01.2016 05:00 - 10.01.2016 05:15","42671","43175"
"10.01.2016 05:15 - 10.01.2016 05:30","42084","42881"
"10.01.2016 05:30 - 10.01.2016 05:45","42095","42455"
"10.01.2016 05:45 - 10.01.2016 06:00","41753","42153"
"10.01.2016 06:00 - 10.01.2016 06:15","41517","41790"
"10.01.2016 06:15 - 10.01.2016 06:30","41832","42016"
"10.01.2016 06:30 - 10.01.2016 06:45","42385","42447"
"10.01.2016 06:45 - 10.01.2016 07:00","42549","42670"
"10.01.2016 07:00 - 10.01.2016 07:15","43206","43148"
"10.01.2016 07:15 - 10.01.2016 07:30","43461","43817"
"10.01.2016 07:30 - 10.01.2016 07:45","44332","44526"
"10.01.2016 07:45 - 10.01.2016 08:00","44574","45263"
"10.01.2016 08:00 - 10.01.2016 08:15","45321","46265"
"10.01.2016 08:15 - 10.01.2016 08:30","45518","46937"
"10.01.2016 08:30 - 10.01.2016 08:45","45914","47930"
"10.01.2016 08:45 - 10.01.2016 09:00","46417","48670"
"10.01.2016 09:00 - 10.01.2016 09:15","47181","49681"
"10.01.2016 09:15 - 10.01.2016 09:30","47901","50750"
"10.01.2016 09:30 - 10.01.2016 09:45","48396","51445"
"10.01.2016 09:45 - 10.01.2016 10:00","48960","51941"
"10.01.2016 10:00 - 10.01.2016 10:15","49161","52363"
"10.01.2016 10:15 - 10.01.2016 10:30","50046","52878"
"10.01.2016 10:30 - 10.01.2016 10:45","50288","53558"
"10.01.2016 10:45 - 10.01.2016 11:00","50762","54302"
"10.01.2016 11:00 - 10.01.2016 11:15","51350","55085"
"10.01.2016 11:15 - 10.01.2016 11:30","51953","55817"
"10.01.2016 11:30 - 10.01.2016 11:45","52371","56352"
"10.01.2016 11:45 - 10.01.2016 12:00","52579","56307"
"10.01.2016 12:00 - 10.01.2016 12:15","52704","56232"
"10.01.2016 12:15 - 10.01.2016 12:30","52181","56008"
"10.01.2016 12:30 - 10.01.2016 12:45","52149","55715"
"10.01.2016 12:45 - 10.01.2016 13:00","51900","54850"
"10.01.2016 13:00 - 10.01.2016 13:15","51129","54319"
"10.01.2016 13:15 - 10.01.2016 13:30","51056","54187"
"10.01.2016 13:30 - 10.01.2016 13:45","50596","54019"
"10.01.2016 13:45 - 10.01.2016 14:00","50199","53247"
"10.01.2016 14:00 - 10.01.2016 14:15","49866","53040"
"10.01.2016 14:15 - 10.01.2016 14:30","49595","52916"
"10.01.2016 14:30 - 10.01.2016 14:45","49598","52944"
"10.01.2016 14:45 - 10.01.2016 15:00","49067","52657"
"10.01.2016 15:00 - 10.01.2016 15:15","48997","52517"
"10.01.2016 15:15 - 10.01.2016 15:30","49035","52399"
"10.01.2016 15:30 - 10.01.2016 15:45","49060","52730"
"10.01.2016 15:45 - 10.01.2016 16:00","49385","52537"
"10.01.2016 16:00 - 10.01.2016 16:15","49092","52860"
"10.01.2016 16:15 - 10.01.2016 16:30","49699","53338"
"10.01.2016 16:30 - 10.01.2016 16:45","50447","54336"
"10.01.2016 16:45 - 10.01.2016 17:00","51472","55617"
"10.01.2016 17:00 - 10.01.2016 17:15","53019","57165"
"10.01.2016 17:15 - 10.01.2016 17:30","53414","57744"
"10.01.2016 17:30 - 10.01.2016 17:45","54331","58365"
"10.01.2016 17:45 - 10.01.2016 18:00","54614","58849"
"10.01.2016 18:00 - 10.01.2016 18:15","54859","59251"
"10.01.2016 18:15 - 10.01.2016 18:30","54881","59009"
"10.01.2016 18:30 - 10.01.2016 18:45","54919","58979"
"10.01.2016 18:45 - 10.01.2016 19:00","54678","58847"
"10.01.2016 19:00 - 10.01.2016 19:15","55049","58561"
"10.01.2016 19:15 - 10.01.2016 19:30","54423","58111"
"10.01.2016 19:30 - 10.01.2016 19:45","54089","57646"
"10.01.2016 19:45 - 10.01.2016 20:00","53840","57151"
"10.01.2016 20:00 - 10.01.2016 20:15","53549","56679"
"10.01.2016 20:15 - 10.01.2016 20:30","52890","55751"
"10.01.2016 20:30 - 10.01.2016 20:45","52019","54939"
"10.01.2016 20:45 - 10.01.2016 21:00","51510","54418"
"10.01.2016 21:00 - 10.01.2016 21:15","51524","53984"
"10.01.2016 21:15 - 10.01.2016 21:30","51211","53502"
"10.01.2016 21:30 - 10.01.2016 21:45","50658","53076"
"10.01.2016 21:45 - 10.01.2016 22:00","51097","53410"
"10.01.2016 22:00 - 10.01.2016 22:15","50873","54361"
"10.01.2016 22:15 - 10.01.2016 22:30","51178","53884"
"10.01.2016 22:30 - 10.01.2016 22:45","50640","52923"
"10.01.2016 22:45 - 10.01.2016 23:00","49582","51995"
"10.01.2016 23:00 - 10.01.2016 23:15","48693","50995"
"10.01.2016 23:15 - 10.01.2016 23:30","47840","50006"
"10.01.2016 23:30 - 10.01.2016 23:45","47585","49334"
"10.01.2016 23:45 - 11.01.2016 00:00","46618","48469"
"11.01.2016 00:00 - 11.01.2016 00:15","46477","47892"
"11.01.2016 00:15 - 11.01.2016 00:30","46418","47403"
"11.01.2016 00:30 - 11.01.2016 00:45","46001","46852"
"11.01.2016 00:45 - 11.01.2016 01:00","45608","46383"
"11.01.2016 01:00 - 11.01.2016 01:15","45062","45690"
"11.01.2016 01:15 - 11.01.2016 01:30","44987","45189"
"11.01.2016 01:30 - 11.01.2016 01:45","44804","44838"
"11.01.2016 01:45 - 11.01.2016 02:00","44614","44840"
"11.01.2016 02:00 - 11.01.2016 02:15","44505","44613"
"11.01.2016 02:15 - 11.01.2016 02:30","44459","44174"
"11.01.2016 02:30 - 11.01.2016 02:45","44290","44349"
"11.01.2016 02:45 - 11.01.2016 03:00","44260","44316"
"11.01.2016 03:00 - 11.01.2016 03:15","44611","44747"
"11.01.2016 03:15 - 11.01.2016 03:30","44629","44694"
"11.01.2016 03:30 - 11.01.2016 03:45","44745","44974"
"11.01.2016 03:45 - 11.01.2016 04:00","44578","45253"
"11.01.2016 04:00 - 11.01.2016 04:15","44986","45987"
"11.01.2016 04:15 - 11.01.2016 04:30","45858","46377"
"11.01.2016 04:30 - 11.01.2016 04:45","45602","46991"
"11.01.2016 04:45 - 11.01.2016 05:00","46016","47606"
"11.01.2016 05:00 - 11.01.2016 05:15","47535","49164"
"11.01.2016 05:15 - 11.01.2016 05:30","47292","50013"
"11.01.2016 05:30 - 11.01.2016 05:45","48491","51488"
"11.01.2016 05:45 - 11.01.2016 06:00","49641","53560"
"11.01.2016 06:00 - 11.01.2016 06:15","51935","56696"
"11.01.2016 06:15 - 11.01.2016 06:30","53670","59301"
"11.01.2016 06:30 - 11.01.2016 06:45","55614","61395"
"11.01.2016 06:45 - 11.01.2016 07:00","57422","63432"
"11.01.2016 07:00 - 11.01.2016 07:15","58586","65869"
"11.01.2016 07:15 - 11.01.2016 07:30","59663","67621"
"11.01.2016 07:30 - 11.01.2016 07:45","60290","68370"
"11.01.2016 07:45 - 11.01.2016 08:00","60279","69774"
"11.01.2016 08:00 - 11.01.2016 08:15","61652","70836"
"11.01.2016 08:15 - 11.01.2016 08:30","61700","71025"
"11.01.2016 08:30 - 11.01.2016 08:45","61783","71041"
"11.01.2016 08:45 - 11.01.2016 09:00","62009","71092"
"11.01.2016 09:00 - 11.01.2016 09:15","62226","70734"
"11.01.2016 09:15 - 11.01.2016 09:30","62448","78036"
"11.01.2016 09:30 - 11.01.2016 09:45","62672","78299"
"11.01.2016 09:45 - 11.01.2016 10:00","63028","78393"
"11.01.2016 10:00 - 11.01.2016 10:15","63277","78525"
"11.01.2016 10:15 - 11.01.2016 10:30","63346","78759"
"11.01.2016 10:30 - 11.01.2016 10:45","63993","78788"
"11.01.2016 10:45 - 11.01.2016 11:00","64006","79052"
"11.01.2016 11:00 - 11.01.2016 11:15","64658","79253"
"11.01.2016 11:15 - 11.01.2016 11:30","64901","79618"
"11.01.2016 11:30 - 11.01.2016 11:45","65214","73250"
"11.01.2016 11:45 - 11.01.2016 12:00","65482","73227"
"11.01.2016 12:00 - 11.01.2016 12:15","65105","72873"
"11.01.2016 12:15 - 11.01.2016 12:30","64555","72835"
"11.01.2016 12:30 - 11.01.2016 12:45","64508","73209"
"11.01.2016 12:45 - 11.01.2016 13:00","64715","73251"
"11.01.2016 13:00 - 11.01.2016 13:15","64496","73261"
"11.01.2016 13:15 - 11.01.2016 13:30","64110","72988"
"11.01.2016 13:30 - 11.01.2016 13:45","63957","72825"
"11.01.2016 13:45 - 11.01.2016 14:00","63512","72026"
"11.01.2016 14:00 - 11.01.2016 14:15","62861","71942"
"11.01.2016 14:15 - 11.01.2016 14:30","62664","71686"
"11.01.2016 14:30 - 11.01.2016 14:45","62672","71377"
"11.01.2016 14:45 - 11.01.2016 15:00","62296","71243"
"11.01.2016 15:00 - 11.01.2016 15:15","62438","71314"
"11.01.2016 15:15 - 11.01.2016 15:30","62282","70952"
"11.01.2016 15:30 - 11.01.2016 15:45","62019","70726"
"11.01.2016 15:45 - 11.01.2016 16:00","61511","70643"
"11.01.2016 16:00 - 11.01.2016 16:15","61346","70756"
"11.01.2016 16:15 - 11.01.2016 16:30","62022","71081"
"11.01.2016 16:30 - 11.01.2016 16:45","62866","71582"
"11.01.2016 16:45 - 11.01.2016 17:00","63876","72307"
"11.01.2016 17:00 - 11.01.2016 17:15","64635","73316"
"11.01.2016 17:15 - 11.01.2016 17:30","65189","74042"
"11.01.2016 17:30 - 11.01.2016 17:45","65691","74185"
"11.01.2016 17:45 - 11.01.2016 18:00","66045","74354"
"11.01.2016 18:00 - 11.01.2016 18:15","65747","73890"
"11.01.2016 18:15 - 11.01.2016 18:30","65263","73640"
"11.01.2016 18:30 - 11.01.2016 18:45","65577","73299"
"11.01.2016 18:45 - 11.01.2016 19:00","65163","73050"
"11.01.2016 19:00 - 11.01.2016 19:15","65429","72232"
"11.01.2016 19:15 - 11.01.2016 19:30","64088","71791"
"11.01.2016 19:30 - 11.01.2016 19:45","63629","71191"
"11.01.2016 19:45 - 11.01.2016 20:00","63150","70458"
"11.01.2016 20:00 - 11.01.2016 20:15","62029","69025"
"11.01.2016 20:15 - 11.01.2016 20:30","60637","67604"
"11.01.2016 20:30 - 11.01.2016 20:45","59035","66727"
"11.01.2016 20:45 - 11.01.2016 21:00","58410","65558"
"11.01.2016 21:00 - 11.01.2016 21:15","57593","65196"
"11.01.2016 21:15 - 11.01.2016 21:30","57117","64359"
"11.01.2016 21:30 - 11.01.2016 21:45","56107","63585"
"11.01.2016 21:45 - 11.01.2016 22:00","55676","62556"
"11.01.2016 22:00 - 11.01.2016 22:15","54489","62629"
"11.01.2016 22:15 - 11.01.2016 22:30","54566","61947"
"11.01.2016 22:30 - 11.01.2016 22:45","53569","60545"
"11.01.2016 22:45 - 11.01.2016 23:00","52208","59194"
"11.01.2016 23:00 - 11.01.2016 23:15","51072","57882"
"11.01.2016 23:15 - 11.01.2016 23:30","49939","56502"
"11.01.2016 23:30 - 11.01.2016 23:45","49374","55550"
"11.01.2016 23:45 - 12.01.2016 00:00","47919","54659"
"12.01.2016 00:00 - 12.01.2016 00:15","48032","53421"
"12.01.2016 00:15 - 12.01.2016 00:30","47697","52753"
"12.01.2016 00:30 - 12.01.2016 00:45","47133","52158"
"12.01.2016 00:45 - 12.01.2016 01:00","46923","51367"
"12.01.2016 01:00 - 12.01.2016 01:15","45812","50565"
"12.01.2016 01:15 - 12.01.2016 01:30","45651","50256"
"12.01.2016 01:30 - 12.01.2016 01:45","45347","49942"
"12.01.2016 01:45 - 12.01.2016 02:00","45243","49692"
"12.01.2016 02:00 - 12.01.2016 02:15","45180","49457"
"12.01.2016 02:15 - 12.01.2016 02:30","44578","49339"
"12.01.2016 02:30 - 12.01.2016 02:45","44539","49341"
"12.01.2016 02:45 - 12.01.2016 03:00","44419","49721"
"12.01.2016 03:00 - 12.01.2016 03:15","44552","49878"
"12.01.2016 03:15 - 12.01.2016 03:30","44749","49866"
"12.01.2016 03:30 - 12.01.2016 03:45","44881","50102"
"12.01.2016 03:45 - 12.01.2016 04:00","45108","50241"
"12.01.2016 04:00 - 12.01.2016 04:15","45305","50551"
"12.01.2016 04:15 - 12.01.2016 04:30","45820","50990"
"12.01.2016 04:30 - 12.01.2016 04:45","45733","51385"
"12.01.2016 04:45 - 12.01.2016 05:00","46036","51833"
"12.01.2016 05:00 - 12.01.2016 05:15","47609","53261"
"12.01.2016 05:15 - 12.01.2016 05:30","47479","53974"
"12.01.2016 05:30 - 12.01.2016 05:45","48799","55075"
"12.01.2016 05:45 - 12.01.2016 06:00","49613","56397"
"12.01.2016 06:00 - 12.01.2016 06:15","52208","59500"
"12.01.2016 06:15 - 12.01.2016 06:30","54139","61906"
"12.01.2016 06:30 - 12.01.2016 06:45","56362","63782"
"12.01.2016 06:45 - 12.01.2016 07:00","57855","65423"
"12.01.2016 07:00 - 12.01.2016 07:15","59287","68049"
"12.01.2016 07:15 - 12.01.2016 07:30","59376","69773"
"12.01.2016 07:30 - 12.01.2016 07:45","61232","70665"
"12.01.2016 07:45 - 12.01.2016 08:00","61434","71558"
"12.01.2016 08:00 - 12.01.2016 08:15","62687","72353"
"12.01.2016 08:15 - 12.01.2016 08:30","62620","72873"
"12.01.2016 08:30 - 12.01.2016 08:45","62625","72742"
"12.01.2016 08:45 - 12.01.2016 09:00","62878","72612"
"12.01.2016 09:00 - 12.01.2016 09:15","62879","72226"
"12.01.2016 09:15 - 12.01.2016 09:30","63150","72363"
"12.01.2016 09:30 - 12.01.2016 09:45","63478","72531"
"12.01.2016 09:45 - 12.01.2016 10:00","63583","72775"
"12.01.2016 10:00 - 12.01.2016 10:15","63894","72977"
"12.01.2016 10:15 - 12.01.2016 10:30","63765","72791"
"12.01.2016 10:30 - 12.01.2016 10:45","64526","73049"
"12.01.2016 10:45 - 12.01.2016 11:00","64522","72977"
"12.01.2016 11:00 - 12.01.2016 11:15","64967","73205"
"12.01.2016 11:15 - 12.01.2016 11:30","65531","73521"
"12.01.2016 11:30 - 12.01.2016 11:45","65649","73410"
"12.01.2016 11:45 - 12.01.2016 12:00","65808","73569"
"12.01.2016 12:00 - 12.01.2016 12:15","65750","72846"
"12.01.2016 12:15 - 12.01.2016 12:30","64780","72432"
"12.01.2016 12:30 - 12.01.2016 12:45","64611","72893"
"12.01.2016 12:45 - 12.01.2016 13:00","65195","72977"
"12.01.2016 13:00 - 12.01.2016 13:15","64773","73032"
"12.01.2016 13:15 - 12.01.2016 13:30","64166","73070"
"12.01.2016 13:30 - 12.01.2016 13:45","64364","72584"
"12.01.2016 13:45 - 12.01.2016 14:00","63442","71986"
"12.01.2016 14:00 - 12.01.2016 14:15","63486","71864"
"12.01.2016 14:15 - 12.01.2016 14:30","62832","71903"
"12.01.2016 14:30 - 12.01.2016 14:45","62799","71645"
"12.01.2016 14:45 - 12.01.2016 15:00","62860","71172"
"12.01.2016 15:00 - 12.01.2016 15:15","62567","71280"
"12.01.2016 15:15 - 12.01.2016 15:30","62219","70916"
"12.01.2016 15:30 - 12.01.2016 15:45","62316","70613"
"12.01.2016 15:45 - 12.01.2016 16:00","61519","70340"
"12.01.2016 16:00 - 12.01.2016 16:15","61892","70439"
"12.01.2016 16:15 - 12.01.2016 16:30","62210","70642"
"12.01.2016 16:30 - 12.01.2016 16:45","63372","70925"
"12.01.2016 16:45 - 12.01.2016 17:00","64225","72150"
"12.01.2016 17:00 - 12.01.2016 17:15","65325","73386"
"12.01.2016 17:15 - 12.01.2016 17:30","65767","74404"
"12.01.2016 17:30 - 12.01.2016 17:45","66611","74684"
"12.01.2016 17:45 - 12.01.2016 18:00","66808","74699"
"12.01.2016 18:00 - 12.01.2016 18:15","66685","74503"
"12.01.2016 18:15 - 12.01.2016 18:30","65965","74122"
"12.01.2016 18:30 - 12.01.2016 18:45","66529","74027"
"12.01.2016 18:45 - 12.01.2016 19:00","65962","73865"
"12.01.2016 19:00 - 12.01.2016 19:15","66153","73381"
"12.01.2016 19:15 - 12.01.2016 19:30","64855","72564"
"12.01.2016 19:30 - 12.01.2016 19:45","64423","71970"
"12.01.2016 19:45 - 12.01.2016 20:00","63671","71144"
"12.01.2016 20:00 - 12.01.2016 20:15","62572","69811"
"12.01.2016 20:15 - 12.01.2016 20:30","61109","68523"
"12.01.2016 20:30 - 12.01.2016 20:45","59674","67434"
"12.01.2016 20:45 - 12.01.2016 21:00","59090","66554"
"12.01.2016 21:00 - 12.01.2016 21:15","58326","65905"
"12.01.2016 21:15 - 12.01.2016 21:30","58169","64654"
"12.01.2016 21:30 - 12.01.2016 21:45","57354","63876"
"12.01.2016 21:45 - 12.01.2016 22:00","56839","62833"
"12.01.2016 22:00 - 12.01.2016 22:15","55854","62861"
"12.01.2016 22:15 - 12.01.2016 22:30","55851","61871"
"12.01.2016 22:30 - 12.01.2016 22:45","54774","60531"
"12.01.2016 22:45 - 12.01.2016 23:00","53605","59329"
"12.01.2016 23:00 - 12.01.2016 23:15","52804","58324"
"12.01.2016 23:15 - 12.01.2016 23:30","51644","56975"
"12.01.2016 23:30 - 12.01.2016 23:45","50888","56066"
"12.01.2016 23:45 - 13.01.2016 00:00","49582","55011"
"13.01.2016 00:00 - 13.01.2016 00:15","47261","54013"
"13.01.2016 00:15 - 13.01.2016 00:30","47029","53364"
"13.01.2016 00:30 - 13.01.2016 00:45","46503","52832"
"13.01.2016 00:45 - 13.01.2016 01:00","45958","52452"
"13.01.2016 01:00 - 13.01.2016 01:15","45325","51766"
"13.01.2016 01:15 - 13.01.2016 01:30","44948","51441"
"13.01.2016 01:30 - 13.01.2016 01:45","44604","51169"
"13.01.2016 01:45 - 13.01.2016 02:00","44369","50905"
"13.01.2016 02:00 - 13.01.2016 02:15","44182","50610"
"13.01.2016 02:15 - 13.01.2016 02:30","43854","50163"
"13.01.2016 02:30 - 13.01.2016 02:45","43705","50019"
"13.01.2016 02:45 - 13.01.2016 03:00","43701","50386"
"13.01.2016 03:00 - 13.01.2016 03:15","43840","50531"
"13.01.2016 03:15 - 13.01.2016 03:30","43985","50585"
"13.01.2016 03:30 - 13.01.2016 03:45","44098","50739"
"13.01.2016 03:45 - 13.01.2016 04:00","44030","50939"
"13.01.2016 04:00 - 13.01.2016 04:15","44370","51690"
"13.01.2016 04:15 - 13.01.2016 04:30","44936","51777"
"13.01.2016 04:30 - 13.01.2016 04:45","45063","52397"
"13.01.2016 04:45 - 13.01.2016 05:00","45431","53027"
"13.01.2016 05:00 - 13.01.2016 05:15","46631","54442"
"13.01.2016 05:15 - 13.01.2016 05:30","46755","54677"
"13.01.2016 05:30 - 13.01.2016 05:45","47967","55881"
"13.01.2016 05:45 - 13.01.2016 06:00","48771","57411"
"13.01.2016 06:00 - 13.01.2016 06:15","51084","60182"
"13.01.2016 06:15 - 13.01.2016 06:30","52673","62594"
"13.01.2016 06:30 - 13.01.2016 06:45","54965","64730"
"13.01.2016 06:45 - 13.01.2016 07:00","56170","66703"
"13.01.2016 07:00 - 13.01.2016 07:15","57936","68944"
"13.01.2016 07:15 - 13.01.2016 07:30","58855","70393"
"13.01.2016 07:30 - 13.01.2016 07:45","61636","71406"
"13.01.2016 07:45 - 13.01.2016 08:00","61608","72263"
"13.01.2016 08:00 - 13.01.2016 08:15","63295","73112"
"13.01.2016 08:15 - 13.01.2016 08:30","63242","73455"
"13.01.2016 08:30 - 13.01.2016 08:45","63466","73301"
"13.01.2016 08:45 - 13.01.2016 09:00","63628","73301"
"13.01.2016 09:00 - 13.01.2016 09:15","63232","72685"
"13.01.2016 09:15 - 13.01.2016 09:30","63022","72956"
"13.01.2016 09:30 - 13.01.2016 09:45","63527","73454"
"13.01.2016 09:45 - 13.01.2016 10:00","63820","73550"
"13.01.2016 10:00 - 13.01.2016 10:15","63706","73690"
"13.01.2016 10:15 - 13.01.2016 10:30","63689","73413"
"13.01.2016 10:30 - 13.01.2016 10:45","64545","73601"
"13.01.2016 10:45 - 13.01.2016 11:00","64560","74041"
"13.01.2016 11:00 - 13.01.2016 11:15","65472","74262"
"13.01.2016 11:15 - 13.01.2016 11:30","66014","74739"
"13.01.2016 11:30 - 13.01.2016 11:45","66099","74822"
"13.01.2016 11:45 - 13.01.2016 12:00","65561","74755"
"13.01.2016 12:00 - 13.01.2016 12:15","65713","73814"
"13.01.2016 12:15 - 13.01.2016 12:30","65803","73761"
"13.01.2016 12:30 - 13.01.2016 12:45","65413","73818"
"13.01.2016 12:45 - 13.01.2016 13:00","65978","73694"
"13.01.2016 13:00 - 13.01.2016 13:15","65799","74066"
"13.01.2016 13:15 - 13.01.2016 13:30","64897","73726"
"13.01.2016 13:30 - 13.01.2016 13:45","65206","73084"
"13.01.2016 13:45 - 13.01.2016 14:00","64684","72511"
"13.01.2016 14:00 - 13.01.2016 14:15","63553","72248"
"13.01.2016 14:15 - 13.01.2016 14:30","63875","72147"
"13.01.2016 14:30 - 13.01.2016 14:45","63440","72299"
"13.01.2016 14:45 - 13.01.2016 15:00","63778","72380"
"13.01.2016 15:00 - 13.01.2016 15:15","63605","72366"
"13.01.2016 15:15 - 13.01.2016 15:30","63430","72057"
"13.01.2016 15:30 - 13.01.2016 15:45","63474","71798"
"13.01.2016 15:45 - 13.01.2016 16:00","62318","72018"
"13.01.2016 16:00 - 13.01.2016 16:15","63294","71563"
"13.01.2016 16:15 - 13.01.2016 16:30","63157","71726"
"13.01.2016 16:30 - 13.01.2016 16:45","64056","72164"
"13.01.2016 16:45 - 13.01.2016 17:00","64923","73096"
"13.01.2016 17:00 - 13.01.2016 17:15","66069","73856"
"13.01.2016 17:15 - 13.01.2016 17:30","66270","74635"
"13.01.2016 17:30 - 13.01.2016 17:45","66686","74891"
"13.01.2016 17:45 - 13.01.2016 18:00","67217","75050"
"13.01.2016 18:00 - 13.01.2016 18:15","67303","74619"
"13.01.2016 18:15 - 13.01.2016 18:30","66332","74103"
"13.01.2016 18:30 - 13.01.2016 18:45","67088","73932"
"13.01.2016 18:45 - 13.01.2016 19:00","66608","73664"
"13.01.2016 19:00 - 13.01.2016 19:15","66775","73076"
"13.01.2016 19:15 - 13.01.2016 19:30","65731","72219"
"13.01.2016 19:30 - 13.01.2016 19:45","65309","71538"
"13.01.2016 19:45 - 13.01.2016 20:00","64414","70677"
"13.01.2016 20:00 - 13.01.2016 20:15","62976","69327"
"13.01.2016 20:15 - 13.01.2016 20:30","61744","68038"
"13.01.2016 20:30 - 13.01.2016 20:45","60605","66917"
"13.01.2016 20:45 - 13.01.2016 21:00","60107","65821"
"13.01.2016 21:00 - 13.01.2016 21:15","59057","65318"
"13.01.2016 21:15 - 13.01.2016 21:30","58907","64344"
"13.01.2016 21:30 - 13.01.2016 21:45","57791","63456"
"13.01.2016 21:45 - 13.01.2016 22:00","57549","62913"
"13.01.2016 22:00 - 13.01.2016 22:15","56621","62818"
"13.01.2016 22:15 - 13.01.2016 22:30","56613","61774"
"13.01.2016 22:30 - 13.01.2016 22:45","55462","60623"
"13.01.2016 22:45 - 13.01.2016 23:00","54211","59383"
"13.01.2016 23:00 - 13.01.2016 23:15","53132","58454"
"13.01.2016 23:15 - 13.01.2016 23:30","52180","57339"
"13.01.2016 23:30 - 13.01.2016 23:45","51098","56343"
"13.01.2016 23:45 - 14.01.2016 00:00","49865","55482"
"14.01.2016 00:00 - 14.01.2016 00:15","48639","54489"
"14.01.2016 00:15 - 14.01.2016 00:30","48357","53762"
"14.01.2016 00:30 - 14.01.2016 00:45","47785","53128"
"14.01.2016 00:45 - 14.01.2016 01:00","47280","52435"
"14.01.2016 01:00 - 14.01.2016 01:15","46958","51807"
"14.01.2016 01:15 - 14.01.2016 01:30","46102","51250"
"14.01.2016 01:30 - 14.01.2016 01:45","45979","51274"
"14.01.2016 01:45 - 14.01.2016 02:00","45960","51158"
"14.01.2016 02:00 - 14.01.2016 02:15","45607","50591"
"14.01.2016 02:15 - 14.01.2016 02:30","45257","50593"
"14.01.2016 02:30 - 14.01.2016 02:45","45185","50772"
"14.01.2016 02:45 - 14.01.2016 03:00","45192","50728"
"14.01.2016 03:00 - 14.01.2016 03:15","45392","51147"
"14.01.2016 03:15 - 14.01.2016 03:30","45527","51066"
"14.01.2016 03:30 - 14.01.2016 03:45","45671","50984"
"14.01.2016 03:45 - 14.01.2016 04:00","45750","51084"
"14.01.2016 04:00 - 14.01.2016 04:15","46082","51692"
"14.01.2016 04:15 - 14.01.2016 04:30","46785","51878"
"14.01.2016 04:30 - 14.01.2016 04:45","46532","52304"
"14.01.2016 04:45 - 14.01.2016 05:00","46913","53020"
"14.01.2016 05:00 - 14.01.2016 05:15","48261","53891"
"14.01.2016 05:15 - 14.01.2016 05:30","48284","54450"
"14.01.2016 05:30 - 14.01.2016 05:45","49478","55366"
"14.01.2016 05:45 - 14.01.2016 06:00","50304","56659"
"14.01.2016 06:00 - 14.01.2016 06:15","52860","59496"
"14.01.2016 06:15 - 14.01.2016 06:30","54759","62166"
"14.01.2016 06:30 - 14.01.2016 06:45","57074","64283"
"14.01.2016 06:45 - 14.01.2016 07:00","58796","66140"
"14.01.2016 07:00 - 14.01.2016 07:15","60467","68432"
"14.01.2016 07:15 - 14.01.2016 07:30","61419","69706"
"14.01.2016 07:30 - 14.01.2016 07:45","63811","70957"
"14.01.2016 07:45 - 14.01.2016 08:00","64150","71810"
"14.01.2016 08:00 - 14.01.2016 08:15","65708","72634"
"14.01.2016 08:15 - 14.01.2016 08:30","65691","72740"
"14.01.2016 08:30 - 14.01.2016 08:45","65663","72565"
"14.01.2016 08:45 - 14.01.2016 09:00","65686","72283"
"14.01.2016 09:00 - 14.01.2016 09:15","65616","71817"
"14.01.2016 09:15 - 14.01.2016 09:30","65787","71659"
"14.01.2016 09:30 - 14.01.2016 09:45","66097","71069"
"14.01.2016 09:45 - 14.01.2016 10:00","66310","71719"
"14.01.2016 10:00 - 14.01.2016 10:15","66367","71717"
"14.01.2016 10:15 - 14.01.2016 10:30","66099","71783"
