"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2017 18:15 - 01.01.2017 18:30","51654","55525"
"01.01.2017 18:30 - 01.01.2017 18:45","51362","55448"
"01.01.2017 18:45 - 01.01.2017 19:00","50742","55240"
"01.01.2017 19:00 - 01.01.2017 19:15","51612","55266"
"01.01.2017 19:15 - 01.01.2017 19:30","50839","54861"
"01.01.2017 19:30 - 01.01.2017 19:45","50067","54462"
"01.01.2017 19:45 - 01.01.2017 20:00","50259","53983"
"01.01.2017 20:00 - 01.01.2017 20:15","49818","53542"
"01.01.2017 20:15 - 01.01.2017 20:30","49353","52767"
"01.01.2017 20:30 - 01.01.2017 20:45","48544","52059"
"01.01.2017 20:45 - 01.01.2017 21:00","48060","51586"
"01.01.2017 21:00 - 01.01.2017 21:15","47475","51263"
"01.01.2017 21:15 - 01.01.2017 21:30","47411","50972"
"01.01.2017 21:30 - 01.01.2017 21:45","48242","50665"
"01.01.2017 21:45 - 01.01.2017 22:00","47638","50686"
"01.01.2017 22:00 - 01.01.2017 22:15","48343","51374"
"01.01.2017 22:15 - 01.01.2017 22:30","48218","51163"
"01.01.2017 22:30 - 01.01.2017 22:45","46923","50501"
"01.01.2017 22:45 - 01.01.2017 23:00","46014","49961"
"01.01.2017 23:00 - 01.01.2017 23:15","45164","48952"
"01.01.2017 23:15 - 01.01.2017 23:30","44846","48638"
"01.01.2017 23:30 - 01.01.2017 23:45","43278","47576"
"01.01.2017 23:45 - 02.01.2017 00:00","42557","47164"
"02.01.2017 00:00 - 02.01.2017 00:15","41422","46303"
"02.01.2017 00:15 - 02.01.2017 00:30","40973","45864"
"02.01.2017 00:30 - 02.01.2017 00:45","40674","45418"
"02.01.2017 00:45 - 02.01.2017 01:00","40096","44692"
"02.01.2017 01:00 - 02.01.2017 01:15","40700","44194"
"02.01.2017 01:15 - 02.01.2017 01:30","39605","43870"
"02.01.2017 01:30 - 02.01.2017 01:45","39574","43396"
"02.01.2017 01:45 - 02.01.2017 02:00","39278","43040"
"02.01.2017 02:00 - 02.01.2017 02:15","39454","42874"
"02.01.2017 02:15 - 02.01.2017 02:30","39378","42767"
"02.01.2017 02:30 - 02.01.2017 02:45","39201","42658"
"02.01.2017 02:45 - 02.01.2017 03:00","39138","42665"
"02.01.2017 03:00 - 02.01.2017 03:15","39479","42780"
"02.01.2017 03:15 - 02.01.2017 03:30","39644","42625"
"02.01.2017 03:30 - 02.01.2017 03:45","39509","43268"
"02.01.2017 03:45 - 02.01.2017 04:00","39659","43454"
"02.01.2017 04:00 - 02.01.2017 04:15","40155","43749"
"02.01.2017 04:15 - 02.01.2017 04:30","40797","44318"
"02.01.2017 04:30 - 02.01.2017 04:45","40842","44694"
"02.01.2017 04:45 - 02.01.2017 05:00","41359","44964"
"02.01.2017 05:00 - 02.01.2017 05:15","42305","45904"
"02.01.2017 05:15 - 02.01.2017 05:30","42865","46607"
"02.01.2017 05:30 - 02.01.2017 05:45","43746","47632"
"02.01.2017 05:45 - 02.01.2017 06:00","45000","48825"
"02.01.2017 06:00 - 02.01.2017 06:15","47785","50518"
"02.01.2017 06:15 - 02.01.2017 06:30","49833","52415"
"02.01.2017 06:30 - 02.01.2017 06:45","51233","54065"
"02.01.2017 06:45 - 02.01.2017 07:00","52866","55641"
"02.01.2017 07:00 - 02.01.2017 07:15","54377","57489"
"02.01.2017 07:15 - 02.01.2017 07:30","55475","58851"
"02.01.2017 07:30 - 02.01.2017 07:45","57679","60309"
"02.01.2017 07:45 - 02.01.2017 08:00","58117","61574"
"02.01.2017 08:00 - 02.01.2017 08:15","58378","62774"
"02.01.2017 08:15 - 02.01.2017 08:30","58919","63238"
"02.01.2017 08:30 - 02.01.2017 08:45","59983","63914"
"02.01.2017 08:45 - 02.01.2017 09:00","60284","64479"
"02.01.2017 09:00 - 02.01.2017 09:15","60122","64807"
"02.01.2017 09:15 - 02.01.2017 09:30","61191","65481"
"02.01.2017 09:30 - 02.01.2017 09:45","61688","66353"
"02.01.2017 09:45 - 02.01.2017 10:00","61752","66630"
"02.01.2017 10:00 - 02.01.2017 10:15","62512","66988"
"02.01.2017 10:15 - 02.01.2017 10:30","62964","67247"
"02.01.2017 10:30 - 02.01.2017 10:45","63168","67668"
"02.01.2017 10:45 - 02.01.2017 11:00","63630","68111"
"02.01.2017 11:00 - 02.01.2017 11:15","64209","68418"
"02.01.2017 11:15 - 02.01.2017 11:30","64315","68714"
"02.01.2017 11:30 - 02.01.2017 11:45","64663","68817"
"02.01.2017 11:45 - 02.01.2017 12:00","65072","68967"
"02.01.2017 12:00 - 02.01.2017 12:15","64116","68872"
"02.01.2017 12:15 - 02.01.2017 12:30","64181","68825"
"02.01.2017 12:30 - 02.01.2017 12:45","64439","68742"
"02.01.2017 12:45 - 02.01.2017 13:00","64376","68536"
"02.01.2017 13:00 - 02.01.2017 13:15","64618","68595"
"02.01.2017 13:15 - 02.01.2017 13:30","64111","68035"
"02.01.2017 13:30 - 02.01.2017 13:45","63636","67387"
"02.01.2017 13:45 - 02.01.2017 14:00","63425","66681"
"02.01.2017 14:00 - 02.01.2017 14:15","63075","66639"
"02.01.2017 14:15 - 02.01.2017 14:30","63218","66736"
"02.01.2017 14:30 - 02.01.2017 14:45","63050","66608"
"02.01.2017 14:45 - 02.01.2017 15:00","62883","66126"
"02.01.2017 15:00 - 02.01.2017 15:15","61950","66298"
"02.01.2017 15:15 - 02.01.2017 15:30","62503","66002"
"02.01.2017 15:30 - 02.01.2017 15:45","62731","65842"
"02.01.2017 15:45 - 02.01.2017 16:00","62445","65778"
"02.01.2017 16:00 - 02.01.2017 16:15","62247","65917"
"02.01.2017 16:15 - 02.01.2017 16:30","61561","66312"
"02.01.2017 16:30 - 02.01.2017 16:45","61140","67422"
"02.01.2017 16:45 - 02.01.2017 17:00","63443","68312"
"02.01.2017 17:00 - 02.01.2017 17:15","63859","69652"
"02.01.2017 17:15 - 02.01.2017 17:30","65050","70047"
"02.01.2017 17:30 - 02.01.2017 17:45","64489","70483"
"02.01.2017 17:45 - 02.01.2017 18:00","64974","70492"
"02.01.2017 18:00 - 02.01.2017 18:15","64399","70089"
"02.01.2017 18:15 - 02.01.2017 18:30","63603","69867"
"02.01.2017 18:30 - 02.01.2017 18:45","63460","69828"
"02.01.2017 18:45 - 02.01.2017 19:00","62793","69575"
"02.01.2017 19:00 - 02.01.2017 19:15","62241","69174"
"02.01.2017 19:15 - 02.01.2017 19:30","62551","68855"
"02.01.2017 19:30 - 02.01.2017 19:45","61197","68365"
"02.01.2017 19:45 - 02.01.2017 20:00","61442","67916"
"02.01.2017 20:00 - 02.01.2017 20:15","60437","66377"
"02.01.2017 20:15 - 02.01.2017 20:30","59339","65158"
"02.01.2017 20:30 - 02.01.2017 20:45","58042","64231"
"02.01.2017 20:45 - 02.01.2017 21:00","57438","63388"
"02.01.2017 21:00 - 02.01.2017 21:15","57070","62252"
"02.01.2017 21:15 - 02.01.2017 21:30","56724","61683"
"02.01.2017 21:30 - 02.01.2017 21:45","56842","61044"
"02.01.2017 21:45 - 02.01.2017 22:00","55696","60663"
"02.01.2017 22:00 - 02.01.2017 22:15","54928","60879"
"02.01.2017 22:15 - 02.01.2017 22:30","53732","60311"
"02.01.2017 22:30 - 02.01.2017 22:45","52695","59475"
"02.01.2017 22:45 - 02.01.2017 23:00","50822","58563"
"02.01.2017 23:00 - 02.01.2017 23:15","48954","57517"
"02.01.2017 23:15 - 02.01.2017 23:30","47840","56721"
"02.01.2017 23:30 - 02.01.2017 23:45","47940","55794"
"02.01.2017 23:45 - 03.01.2017 00:00","45105","55122"
"03.01.2017 00:00 - 03.01.2017 00:15","47169","54297"
"03.01.2017 00:15 - 03.01.2017 00:30","46780","53486"
"03.01.2017 00:30 - 03.01.2017 00:45","46233","52767"
"03.01.2017 00:45 - 03.01.2017 01:00","45716","51651"
"03.01.2017 01:00 - 03.01.2017 01:15","45122","50970"
"03.01.2017 01:15 - 03.01.2017 01:30","44798","50650"
"03.01.2017 01:30 - 03.01.2017 01:45","44433","50190"
"03.01.2017 01:45 - 03.01.2017 02:00","44080","49931"
"03.01.2017 02:00 - 03.01.2017 02:15","44001","49503"
"03.01.2017 02:15 - 03.01.2017 02:30","43931","49294"
"03.01.2017 02:30 - 03.01.2017 02:45","43927","49256"
"03.01.2017 02:45 - 03.01.2017 03:00","43999","49210"
"03.01.2017 03:00 - 03.01.2017 03:15","44160","49353"
"03.01.2017 03:15 - 03.01.2017 03:30","44214","49297"
"03.01.2017 03:30 - 03.01.2017 03:45","44080","49455"
"03.01.2017 03:45 - 03.01.2017 04:00","44073","49491"
"03.01.2017 04:00 - 03.01.2017 04:15","44646","49824"
"03.01.2017 04:15 - 03.01.2017 04:30","45119","50155"
"03.01.2017 04:30 - 03.01.2017 04:45","45329","50476"
"03.01.2017 04:45 - 03.01.2017 05:00","45870","50875"
"03.01.2017 05:00 - 03.01.2017 05:15","46655","51689"
"03.01.2017 05:15 - 03.01.2017 05:30","47299","52276"
"03.01.2017 05:30 - 03.01.2017 05:45","48049","53036"
"03.01.2017 05:45 - 03.01.2017 06:00","49124","54085"
"03.01.2017 06:00 - 03.01.2017 06:15","50727","55839"
"03.01.2017 06:15 - 03.01.2017 06:30","53087","57645"
"03.01.2017 06:30 - 03.01.2017 06:45","54416","58948"
"03.01.2017 06:45 - 03.01.2017 07:00","55394","60370"
"03.01.2017 07:00 - 03.01.2017 07:15","57103","62023"
"03.01.2017 07:15 - 03.01.2017 07:30","59374","63418"
"03.01.2017 07:30 - 03.01.2017 07:45","58562","64902"
"03.01.2017 07:45 - 03.01.2017 08:00","59938","66188"
"03.01.2017 08:00 - 03.01.2017 08:15","60396","67118"
"03.01.2017 08:15 - 03.01.2017 08:30","61213","67458"
"03.01.2017 08:30 - 03.01.2017 08:45","61124","68146"
"03.01.2017 08:45 - 03.01.2017 09:00","61031","68349"
"03.01.2017 09:00 - 03.01.2017 09:15","60902","68423"
"03.01.2017 09:15 - 03.01.2017 09:30","61319","69082"
"03.01.2017 09:30 - 03.01.2017 09:45","61200","69516"
"03.01.2017 09:45 - 03.01.2017 10:00","61597","70031"
"03.01.2017 10:00 - 03.01.2017 10:15","61801","70531"
"03.01.2017 10:15 - 03.01.2017 10:30","62287","70678"
"03.01.2017 10:30 - 03.01.2017 10:45","62391","71142"
"03.01.2017 10:45 - 03.01.2017 11:00","62759","71325"
"03.01.2017 11:00 - 03.01.2017 11:15","62868","71591"
"03.01.2017 11:15 - 03.01.2017 11:30","63097","71895"
"03.01.2017 11:30 - 03.01.2017 11:45","63631","72189"
"03.01.2017 11:45 - 03.01.2017 12:00","63454","72308"
"03.01.2017 12:00 - 03.01.2017 12:15","63503","71930"
"03.01.2017 12:15 - 03.01.2017 12:30","63878","71962"
"03.01.2017 12:30 - 03.01.2017 12:45","63570","72025"
"03.01.2017 12:45 - 03.01.2017 13:00","63623","71944"
"03.01.2017 13:00 - 03.01.2017 13:15","63333","71712"
"03.01.2017 13:15 - 03.01.2017 13:30","63148","71351"
"03.01.2017 13:30 - 03.01.2017 13:45","62829","71109"
"03.01.2017 13:45 - 03.01.2017 14:00","62216","70543"
"03.01.2017 14:00 - 03.01.2017 14:15","61894","70610"
"03.01.2017 14:15 - 03.01.2017 14:30","61287","70434"
"03.01.2017 14:30 - 03.01.2017 14:45","61437","70220"
"03.01.2017 14:45 - 03.01.2017 15:00","61760","70016"
"03.01.2017 15:00 - 03.01.2017 15:15","62306","70148"
"03.01.2017 15:15 - 03.01.2017 15:30","61244","70046"
"03.01.2017 15:30 - 03.01.2017 15:45","61360","69969"
"03.01.2017 15:45 - 03.01.2017 16:00","61483","69787"
"03.01.2017 16:00 - 03.01.2017 16:15","61534","70213"
"03.01.2017 16:15 - 03.01.2017 16:30","62650","70626"
"03.01.2017 16:30 - 03.01.2017 16:45","64016","71333"
"03.01.2017 16:45 - 03.01.2017 17:00","63846","72188"
"03.01.2017 17:00 - 03.01.2017 17:15","65195","72999"
"03.01.2017 17:15 - 03.01.2017 17:30","65632","73794"
"03.01.2017 17:30 - 03.01.2017 17:45","66211","74170"
"03.01.2017 17:45 - 03.01.2017 18:00","65839","74294"
"03.01.2017 18:00 - 03.01.2017 18:15","65356","73821"
"03.01.2017 18:15 - 03.01.2017 18:30","65445","73347"
"03.01.2017 18:30 - 03.01.2017 18:45","65219","72986"
"03.01.2017 18:45 - 03.01.2017 19:00","65339","72777"
"03.01.2017 19:00 - 03.01.2017 19:15","64662","72311"
"03.01.2017 19:15 - 03.01.2017 19:30","64122","71797"
"03.01.2017 19:30 - 03.01.2017 19:45","63517","71411"
"03.01.2017 19:45 - 03.01.2017 20:00","62669","70802"
"03.01.2017 20:00 - 03.01.2017 20:15","61358","69616"
"03.01.2017 20:15 - 03.01.2017 20:30","59588","68295"
"03.01.2017 20:30 - 03.01.2017 20:45","59017","67283"
"03.01.2017 20:45 - 03.01.2017 21:00","58240","66269"
"03.01.2017 21:00 - 03.01.2017 21:15","57338","65394"
"03.01.2017 21:15 - 03.01.2017 21:30","57146","64950"
"03.01.2017 21:30 - 03.01.2017 21:45","56746","64414"
"03.01.2017 21:45 - 03.01.2017 22:00","55843","63699"
"03.01.2017 22:00 - 03.01.2017 22:15","55865","63477"
"03.01.2017 22:15 - 03.01.2017 22:30","55474","62771"
"03.01.2017 22:30 - 03.01.2017 22:45","54318","61830"
"03.01.2017 22:45 - 03.01.2017 23:00","53159","60412"
"03.01.2017 23:00 - 03.01.2017 23:15","51713","59699"
"03.01.2017 23:15 - 03.01.2017 23:30","50790","58902"
"03.01.2017 23:30 - 03.01.2017 23:45","49595","57713"
"03.01.2017 23:45 - 04.01.2017 00:00","48870","56678"
"04.01.2017 00:00 - 04.01.2017 00:15","48044","55945"
"04.01.2017 00:15 - 04.01.2017 00:30","47344","55359"
"04.01.2017 00:30 - 04.01.2017 00:45","46768","54915"
"04.01.2017 00:45 - 04.01.2017 01:00","46300","54182"
"04.01.2017 01:00 - 04.01.2017 01:15","45796","53544"
"04.01.2017 01:15 - 04.01.2017 01:30","45114","53373"
"04.01.2017 01:30 - 04.01.2017 01:45","44762","53074"
"04.01.2017 01:45 - 04.01.2017 02:00","44552","52796"
"04.01.2017 02:00 - 04.01.2017 02:15","44180","52215"
"04.01.2017 02:15 - 04.01.2017 02:30","44126","52091"
"04.01.2017 02:30 - 04.01.2017 02:45","44023","52088"
"04.01.2017 02:45 - 04.01.2017 03:00","44031","52096"
"04.01.2017 03:00 - 04.01.2017 03:15","44197","52178"
"04.01.2017 03:15 - 04.01.2017 03:30","44119","52219"
"04.01.2017 03:30 - 04.01.2017 03:45","44047","52430"
"04.01.2017 03:45 - 04.01.2017 04:00","44445","52680"
"04.01.2017 04:00 - 04.01.2017 04:15","44887","52864"
"04.01.2017 04:15 - 04.01.2017 04:30","45353","52950"
"04.01.2017 04:30 - 04.01.2017 04:45","45552","53415"
"04.01.2017 04:45 - 04.01.2017 05:00","46185","53952"
"04.01.2017 05:00 - 04.01.2017 05:15","47261","54652"
"04.01.2017 05:15 - 04.01.2017 05:30","47584","55054"
"04.01.2017 05:30 - 04.01.2017 05:45","48310","55854"
"04.01.2017 05:45 - 04.01.2017 06:00","49389","56967"
"04.01.2017 06:00 - 04.01.2017 06:15","51032","58573"
"04.01.2017 06:15 - 04.01.2017 06:30","52409","60629"
"04.01.2017 06:30 - 04.01.2017 06:45","54529","62062"
"04.01.2017 06:45 - 04.01.2017 07:00","55937","63733"
"04.01.2017 07:00 - 04.01.2017 07:15","57434","65449"
"04.01.2017 07:15 - 04.01.2017 07:30","58977","66908"
"04.01.2017 07:30 - 04.01.2017 07:45","59122","68005"
"04.01.2017 07:45 - 04.01.2017 08:00","61211","69061"
"04.01.2017 08:00 - 04.01.2017 08:15","60959","69928"
"04.01.2017 08:15 - 04.01.2017 08:30","62515","70426"
"04.01.2017 08:30 - 04.01.2017 08:45","63086","70798"
"04.01.2017 08:45 - 04.01.2017 09:00","63067","70888"
"04.01.2017 09:00 - 04.01.2017 09:15","62813","70735"
"04.01.2017 09:15 - 04.01.2017 09:30","63594","71325"
"04.01.2017 09:30 - 04.01.2017 09:45","63778","71470"
"04.01.2017 09:45 - 04.01.2017 10:00","63572","72112"
"04.01.2017 10:00 - 04.01.2017 10:15","63290","72398"
"04.01.2017 10:15 - 04.01.2017 10:30","64438","72618"
"04.01.2017 10:30 - 04.01.2017 10:45","64115","72835"
"04.01.2017 10:45 - 04.01.2017 11:00","64353","72923"
"04.01.2017 11:00 - 04.01.2017 11:15","64776","73072"
"04.01.2017 11:15 - 04.01.2017 11:30","65048","73271"
"04.01.2017 11:30 - 04.01.2017 11:45","65486","73862"
"04.01.2017 11:45 - 04.01.2017 12:00","64958","73962"
"04.01.2017 12:00 - 04.01.2017 12:15","65050","73787"
"04.01.2017 12:15 - 04.01.2017 12:30","65634","73348"
"04.01.2017 12:30 - 04.01.2017 12:45","65132","73139"
"04.01.2017 12:45 - 04.01.2017 13:00","64854","73185"
"04.01.2017 13:00 - 04.01.2017 13:15","65428","72667"
"04.01.2017 13:15 - 04.01.2017 13:30","64590","72456"
"04.01.2017 13:30 - 04.01.2017 13:45","64455","71989"
"04.01.2017 13:45 - 04.01.2017 14:00","63788","71502"
"04.01.2017 14:00 - 04.01.2017 14:15","62713","71367"
"04.01.2017 14:15 - 04.01.2017 14:30","62519","71093"
"04.01.2017 14:30 - 04.01.2017 14:45","62317","70927"
"04.01.2017 14:45 - 04.01.2017 15:00","62876","70786"
"04.01.2017 15:00 - 04.01.2017 15:15","63319","70509"
"04.01.2017 15:15 - 04.01.2017 15:30","62708","70348"
"04.01.2017 15:30 - 04.01.2017 15:45","62334","70101"
"04.01.2017 15:45 - 04.01.2017 16:00","63082","69895"
"04.01.2017 16:00 - 04.01.2017 16:15","63075","70080"
"04.01.2017 16:15 - 04.01.2017 16:30","63847","70346"
"04.01.2017 16:30 - 04.01.2017 16:45","64617","70887"
"04.01.2017 16:45 - 04.01.2017 17:00","64933","71956"
"04.01.2017 17:00 - 04.01.2017 17:15","66746","72682"
"04.01.2017 17:15 - 04.01.2017 17:30","66605","73460"
"04.01.2017 17:30 - 04.01.2017 17:45","67437","73670"
"04.01.2017 17:45 - 04.01.2017 18:00","67522","73647"
"04.01.2017 18:00 - 04.01.2017 18:15","67422","73279"
"04.01.2017 18:15 - 04.01.2017 18:30","67409","72727"
"04.01.2017 18:30 - 04.01.2017 18:45","67251","72180"
"04.01.2017 18:45 - 04.01.2017 19:00","67206","71972"
"04.01.2017 19:00 - 04.01.2017 19:15","66735","71555"
"04.01.2017 19:15 - 04.01.2017 19:30","66014","71088"
"04.01.2017 19:30 - 04.01.2017 19:45","65458","70552"
"04.01.2017 19:45 - 04.01.2017 20:00","64995","70222"
"04.01.2017 20:00 - 04.01.2017 20:15","62749","68644"
"04.01.2017 20:15 - 04.01.2017 20:30","61399","67346"
"04.01.2017 20:30 - 04.01.2017 20:45","60787","66307"
"04.01.2017 20:45 - 04.01.2017 21:00","60111","65380"
"04.01.2017 21:00 - 04.01.2017 21:15","59174","64821"
"04.01.2017 21:15 - 04.01.2017 21:30","58856","64447"
"04.01.2017 21:30 - 04.01.2017 21:45","58659","63727"
"04.01.2017 21:45 - 04.01.2017 22:00","57908","63287"
"04.01.2017 22:00 - 04.01.2017 22:15","58053","63314"
"04.01.2017 22:15 - 04.01.2017 22:30","57385","62955"
"04.01.2017 22:30 - 04.01.2017 22:45","56180","61556"
"04.01.2017 22:45 - 04.01.2017 23:00","55010","60434"
"04.01.2017 23:00 - 04.01.2017 23:15","53357","59307"
"04.01.2017 23:15 - 04.01.2017 23:30","52325","58587"
"04.01.2017 23:30 - 04.01.2017 23:45","51087","57446"
"04.01.2017 23:45 - 05.01.2017 00:00","50486","56874"
"05.01.2017 00:00 - 05.01.2017 00:15","50653","54922"
"05.01.2017 00:15 - 05.01.2017 00:30","50211","54262"
"05.01.2017 00:30 - 05.01.2017 00:45","49237","53526"
"05.01.2017 00:45 - 05.01.2017 01:00","48832","52804"
"05.01.2017 01:00 - 05.01.2017 01:15","48404","52200"
"05.01.2017 01:15 - 05.01.2017 01:30","47873","51717"
"05.01.2017 01:30 - 05.01.2017 01:45","47426","51468"
"05.01.2017 01:45 - 05.01.2017 02:00","46901","51176"
"05.01.2017 02:00 - 05.01.2017 02:15","46818","50965"
"05.01.2017 02:15 - 05.01.2017 02:30","46638","50732"
"05.01.2017 02:30 - 05.01.2017 02:45","47103","50779"
"05.01.2017 02:45 - 05.01.2017 03:00","46572","50904"
"05.01.2017 03:00 - 05.01.2017 03:15","46843","50719"
"05.01.2017 03:15 - 05.01.2017 03:30","46652","50912"
"05.01.2017 03:30 - 05.01.2017 03:45","46658","51028"
"05.01.2017 03:45 - 05.01.2017 04:00","47150","51227"
"05.01.2017 04:00 - 05.01.2017 04:15","47267","51750"
"05.01.2017 04:15 - 05.01.2017 04:30","47988","52032"
"05.01.2017 04:30 - 05.01.2017 04:45","47732","52099"
"05.01.2017 04:45 - 05.01.2017 05:00","48351","52694"
"05.01.2017 05:00 - 05.01.2017 05:15","49001","53490"
"05.01.2017 05:15 - 05.01.2017 05:30","49093","54229"
"05.01.2017 05:30 - 05.01.2017 05:45","49741","54961"
"05.01.2017 05:45 - 05.01.2017 06:00","50762","55875"
"05.01.2017 06:00 - 05.01.2017 06:15","52638","57182"
"05.01.2017 06:15 - 05.01.2017 06:30","53677","59131"
"05.01.2017 06:30 - 05.01.2017 06:45","55779","60680"
"05.01.2017 06:45 - 05.01.2017 07:00","56629","62351"
"05.01.2017 07:00 - 05.01.2017 07:15","58786","63984"
"05.01.2017 07:15 - 05.01.2017 07:30","59319","65158"
"05.01.2017 07:30 - 05.01.2017 07:45","61961","66682"
"05.01.2017 07:45 - 05.01.2017 08:00","62667","67807"
"05.01.2017 08:00 - 05.01.2017 08:15","63908","68513"
"05.01.2017 08:15 - 05.01.2017 08:30","63950","68797"
"05.01.2017 08:30 - 05.01.2017 08:45","64088","69123"
"05.01.2017 08:45 - 05.01.2017 09:00","64423","69237"
"05.01.2017 09:00 - 05.01.2017 09:15","64762","69366"
"05.01.2017 09:15 - 05.01.2017 09:30","64786","69800"
"05.01.2017 09:30 - 05.01.2017 09:45","65517","70103"
"05.01.2017 09:45 - 05.01.2017 10:00","65776","70140"
"05.01.2017 10:00 - 05.01.2017 10:15","65969","70498"
"05.01.2017 10:15 - 05.01.2017 10:30","66105","70711"
"05.01.2017 10:30 - 05.01.2017 10:45","66639","70808"
"05.01.2017 10:45 - 05.01.2017 11:00","66646","70787"
"05.01.2017 11:00 - 05.01.2017 11:15","67420","70854"
"05.01.2017 11:15 - 05.01.2017 11:30","67433","71007"
"05.01.2017 11:30 - 05.01.2017 11:45","67875","71420"
"05.01.2017 11:45 - 05.01.2017 12:00","68052","71490"
"05.01.2017 12:00 - 05.01.2017 12:15","67130","71440"
