"Time (CET)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"01.01.2017 00:00 - 01.01.2017 00:15","40241","47213"
"01.01.2017 00:15 - 01.01.2017 00:30","39805","47057"
"01.01.2017 00:30 - 01.01.2017 00:45","39023","46912"
"01.01.2017 00:45 - 01.01.2017 01:00","38682","46626"
"01.01.2017 01:00 - 01.01.2017 01:15","38162","46272"
"01.01.2017 01:15 - 01.01.2017 01:30","37744","45812"
"01.01.2017 01:30 - 01.01.2017 01:45","37604","45399"
"01.01.2017 01:45 - 01.01.2017 02:00","37229","45095"
"01.01.2017 02:00 - 01.01.2017 02:15","36989","44832"
"01.01.2017 02:15 - 01.01.2017 02:30","37036","44547"
"01.01.2017 02:30 - 01.01.2017 02:45","36874","44112"
"01.01.2017 02:45 - 01.01.2017 03:00","36465","43741"
"01.01.2017 03:00 - 01.01.2017 03:15","36507","43375"
"01.01.2017 03:15 - 01.01.2017 03:30","36698","43091"
"01.01.2017 03:30 - 01.01.2017 03:45","36746","42953"
"01.01.2017 03:45 - 01.01.2017 04:00","36758","42854"
"01.01.2017 04:00 - 01.01.2017 04:15","36884","42687"
"01.01.2017 04:15 - 01.01.2017 04:30","36897","42381"
"01.01.2017 04:30 - 01.01.2017 04:45","36482","42067"
"01.01.2017 04:45 - 01.01.2017 05:00","36761","41864"
"01.01.2017 05:00 - 01.01.2017 05:15","36964","41613"
"01.01.2017 05:15 - 01.01.2017 05:30","36308","41260"
"01.01.2017 05:30 - 01.01.2017 05:45","36218","40820"
"01.01.2017 05:45 - 01.01.2017 06:00","35579","40655"
"01.01.2017 06:00 - 01.01.2017 06:15","35256","39750"
"01.01.2017 06:15 - 01.01.2017 06:30","34851","39674"
"01.01.2017 06:30 - 01.01.2017 06:45","34967","39689"
"01.01.2017 06:45 - 01.01.2017 07:00","34374","39708"
"01.01.2017 07:00 - 01.01.2017 07:15","36200","39869"
"01.01.2017 07:15 - 01.01.2017 07:30","36747","40042"
"01.01.2017 07:30 - 01.01.2017 07:45","36679","40117"
"01.01.2017 07:45 - 01.01.2017 08:00","37327","40266"
"01.01.2017 08:00 - 01.01.2017 08:15","39011","40635"
"01.01.2017 08:15 - 01.01.2017 08:30","39682","40658"
"01.01.2017 08:30 - 01.01.2017 08:45","39769","41018"
"01.01.2017 08:45 - 01.01.2017 09:00","40747","41494"
"01.01.2017 09:00 - 01.01.2017 09:15","42092","42385"
"01.01.2017 09:15 - 01.01.2017 09:30","42766","43286"
"01.01.2017 09:30 - 01.01.2017 09:45","43446","43948"
"01.01.2017 09:45 - 01.01.2017 10:00","44193","44537"
"01.01.2017 10:00 - 01.01.2017 10:15","44481","45257"
"01.01.2017 10:15 - 01.01.2017 10:30","46216","45904"
"01.01.2017 10:30 - 01.01.2017 10:45","46126","46350"
"01.01.2017 10:45 - 01.01.2017 11:00","47308","47010"
"01.01.2017 11:00 - 01.01.2017 11:15","47438","47751"
"01.01.2017 11:15 - 01.01.2017 11:30","48093","48363"
"01.01.2017 11:30 - 01.01.2017 11:45","48639","48902"
"01.01.2017 11:45 - 01.01.2017 12:00","49133","49121"
"01.01.2017 12:00 - 01.01.2017 12:15","48968","49363"
"01.01.2017 12:15 - 01.01.2017 12:30","48865","49455"
"01.01.2017 12:30 - 01.01.2017 12:45","48466","49497"
"01.01.2017 12:45 - 01.01.2017 13:00","47846","49238"
"01.01.2017 13:00 - 01.01.2017 13:15","47403","48778"
"01.01.2017 13:15 - 01.01.2017 13:30","47122","48458"
"01.01.2017 13:30 - 01.01.2017 13:45","46535","48198"
"01.01.2017 13:45 - 01.01.2017 14:00","46272","47842"
"01.01.2017 14:00 - 01.01.2017 14:15","45965","47837"
"01.01.2017 14:15 - 01.01.2017 14:30","45423","47712"
"01.01.2017 14:30 - 01.01.2017 14:45","46890","47442"
"01.01.2017 14:45 - 01.01.2017 15:00","45206","47174"
"01.01.2017 15:00 - 01.01.2017 15:15","46105","47554"
"01.01.2017 15:15 - 01.01.2017 15:30","45645","47657"
"01.01.2017 15:30 - 01.01.2017 15:45","45496","47903"
"01.01.2017 15:45 - 01.01.2017 16:00","46408","48077"
"01.01.2017 16:00 - 01.01.2017 16:15","46548","48779"
"01.01.2017 16:15 - 01.01.2017 16:30","47301","49342"
"01.01.2017 16:30 - 01.01.2017 16:45","48800","50442"
"01.01.2017 16:45 - 01.01.2017 17:00","48730","51948"
"01.01.2017 17:00 - 01.01.2017 17:15","50348","53527"
"01.01.2017 17:15 - 01.01.2017 17:30","50722","54438"
"01.01.2017 17:30 - 01.01.2017 17:45","51784","54771"
"01.01.2017 17:45 - 01.01.2017 18:00","51005","54960"
"01.01.2017 18:00 - 01.01.2017 18:15","50647","55224"
